customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment,loyalty_member
C1000,64,8,80.33,2,2,4,8,Lost / Hibernating,True
C1001,26,6,28.959999999999997,3,1,1,5,Needs Attention,False
C1002,7,12,103.71,5,4,5,14,Champions,False
C1003,31,11,96.53999999999999,3,4,5,12,Needs Attention,True
C1004,10,10,52.88,4,3,2,9,Loyal Customers,False
C1005,230,4,33.93,1,1,1,3,Lost / Hibernating,True
C1006,20,14,113.00999999999999,4,5,5,14,Champions,False
C1007,6,15,88.56,5,5,4,14,Champions,True
C1008,174,8,87.12,1,2,4,7,Lost / Hibernating,False
C1009,15,10,83.9,4,3,4,11,Loyal Customers,True
C1010,2,6,64.08,5,1,3,9,New / Promising,True
C1011,24,11,85.45,3,4,4,11,Needs Attention,False
C1012,1,10,69.97,5,3,3,11,Loyal Customers,True
C1013,89,8,70.32,1,2,3,6,Lost / Hibernating,True
C1014,44,9,76.14,2,3,4,9,Needs Attention,True
C1015,6,10,61.09,5,3,3,11,Loyal Customers,False
C1016,73,15,83.36,1,5,4,10,At Risk,False
C1017,59,9,68.01,2,3,3,8,Needs Attention,False
C1018,301,1,5.52,1,1,1,3,Lost / Hibernating,True
C1019,98,12,113.66,1,4,5,10,At Risk,True
C1020,44,11,101.92999999999999,2,4,5,11,At Risk,True
C1021,3,14,116.23,5,5,5,15,Champions,False
C1022,37,9,73.74000000000001,3,3,3,9,Needs Attention,False
C1023,20,8,76.23,4,2,4,10,New / Promising,False
C1024,36,2,7.8100000000000005,3,1,1,5,Needs Attention,False
C1025,5,7,36.28,5,2,1,8,New / Promising,True
C1026,50,11,62.63,2,4,3,9,At Risk,False
C1027,66,6,36.28,2,1,1,4,Lost / Hibernating,False
C1028,2,12,85.13,5,4,4,13,Champions,True
C1029,62,2,12.129999999999999,2,1,1,4,Lost / Hibernating,True
C1030,11,5,45.22,4,1,2,7,New / Promising,True
C1031,104,9,64.26,1,3,3,7,Needs Attention,True
C1032,28,8,47.93,3,2,2,7,Needs Attention,True
C1033,15,19,133.86,4,5,5,14,Champions,False
C1034,30,6,34.69,3,1,1,5,Needs Attention,False
C1035,33,6,43.18,3,1,1,5,Needs Attention,True
C1036,80,12,71.03,1,4,3,8,At Risk,False
C1037,49,7,63.85,2,2,3,7,Lost / Hibernating,False
C1038,45,5,42.55,2,1,1,4,Lost / Hibernating,False
C1039,43,9,69.02,2,3,3,8,Needs Attention,False
C1040,41,5,49.85,2,1,2,5,Lost / Hibernating,True
C1041,21,8,68.69,4,2,3,9,New / Promising,False
C1042,29,10,91.0,3,3,5,11,Needs Attention,True
C1043,1,6,37.11,5,1,1,7,New / Promising,True
C1044,28,9,43.61,3,3,1,7,Needs Attention,False
C1045,1,17,117.08,5,5,5,15,Champions,False
C1046,78,8,65.89,1,2,3,6,Lost / Hibernating,False
C1047,3,10,72.93,5,3,3,11,Loyal Customers,False
C1048,1,10,69.05,5,3,3,11,Loyal Customers,False
C1049,3,7,35.13,5,2,1,8,New / Promising,True
C1050,59,9,66.26,2,3,3,8,Needs Attention,True
C1051,10,5,46.53,4,1,2,7,New / Promising,True
C1052,28,11,96.74,3,4,5,12,Needs Attention,True
C1053,39,11,79.29,3,4,4,11,Needs Attention,False
C1054,91,8,50.86,1,2,2,5,Lost / Hibernating,True
C1055,59,10,77.29,2,3,4,9,Needs Attention,False
C1056,98,5,44.29,1,1,1,3,Lost / Hibernating,False
C1057,78,2,16.76,1,1,1,3,Lost / Hibernating,False
C1058,14,9,54.12,4,3,2,9,Loyal Customers,False
C1059,7,9,80.19,5,3,4,12,Loyal Customers,False
