customer_id,age,gender,loyalty_member,signup_date,age_group
C1000,22,Female,True,2025-01-23,18-24
C1001,58,Male,False,2024-10-01,55+
C1002,52,Male,False,2025-08-12,45-54
C1003,40,Female,True,2024-06-16,35-44
C1004,40,Male,False,2024-12-09,35-44
C1005,62,Non-binary,True,2024-12-24,55+
C1006,22,Male,False,2024-07-13,18-24
C1007,54,Male,True,2024-10-14,45-54
C1008,28,Female,False,2025-11-11,25-34
C1009,22,Non-binary,True,2025-06-13,18-24
C1010,45,Female,True,2025-08-30,45-54
C1011,68,Non-binary,False,2024-08-04,55+
C1012,56,Male,True,2025-12-07,55+
C1013,57,Female,True,2025-08-12,55+
C1014,55,Female,True,2024-11-08,55+
C1015,58,Male,False,2024-09-01,55+
C1016,44,Male,False,2025-01-13,35-44
C1017,24,Female,False,2024-05-08,18-24
C1018,61,Male,True,2024-03-28,55+
C1019,41,Male,True,2025-09-30,35-44
C1020,44,Male,True,2024-03-05,35-44
C1021,37,Female,False,2024-10-27,35-44
C1022,27,Female,False,2024-10-12,25-34
C1023,66,Male,False,2025-10-26,55+
C1024,58,Female,False,2024-10-22,55+
C1025,51,Male,True,2024-08-10,45-54
C1026,38,Female,False,2024-11-20,35-44
C1027,60,Male,False,2025-11-02,55+
C1028,46,Female,True,2024-12-30,45-54
C1029,41,Female,True,2024-03-16,35-44
C1030,41,Male,True,2024-08-12,35-44
C1031,29,Male,True,2025-09-26,25-34
C1032,22,Male,True,2024-02-29,18-24
C1033,46,Non-binary,False,2024-02-29,45-54
C1034,64,Non-binary,False,2025-09-04,55+
C1035,21,Male,True,2024-06-19,18-24
C1036,62,Female,False,2025-03-22,55+
C1037,61,Male,False,2024-11-11,55+
C1038,32,Male,False,2025-02-23,25-34
C1039,43,Female,False,2024-07-02,35-44
C1040,26,Female,True,2024-02-03,25-34
C1041,57,Male,False,2024-06-23,55+
C1042,54,Male,True,2024-03-20,45-54
C1043,43,Male,True,2024-03-09,35-44
C1044,21,Not specified,False,2025-10-29,18-24
C1045,68,Male,False,2025-07-07,55+
C1046,41,Female,False,2024-08-13,35-44
C1047,64,Female,False,2024-11-13,55+
C1048,53,Female,False,2025-11-26,45-54
C1049,58,Female,True,2025-10-26,55+
C1050,43,Male,True,2025-01-01,35-44
C1051,28,Male,True,2024-10-26,25-34
C1052,36,Female,True,2025-09-05,35-44
C1053,42,Female,False,2025-09-03,35-44
C1054,43,Male,True,2025-10-02,35-44
C1055,20,Female,False,2024-12-01,18-24
C1056,46,Male,False,2025-12-26,45-54
C1057,26,Female,False,2024-11-26,25-34
C1058,56,Male,False,2025-02-01,55+
C1059,53,Female,False,2025-02-08,45-54
C1060,65,Male,False,2024-09-12,55+
C1061,56,Female,False,2024-12-31,55+
C1062,37,Male,False,2024-08-09,35-44
C1063,68,Female,False,2024-07-15,55+
C1064,39,Female,False,2024-03-27,35-44
C1065,34,Male,True,2024-06-20,25-34
C1066,65,Female,False,2025-01-03,55+
C1067,37,Female,True,2025-01-21,35-44
C1068,21,Female,False,2025-07-20,18-24
C1069,42,Female,False,2024-11-07,35-44
C1070,59,Female,False,2025-09-25,55+
C1071,27,Non-binary,False,2024-03-20,25-34
C1072,42,Female,True,2024-05-19,35-44
C1073,24,Male,False,2025-10-09,18-24
C1074,53,Not specified,True,2024-06-29,45-54
C1075,42,Female,True,2025-10-11,35-44
C1076,35,Male,True,2024-08-14,35-44
C1077,29,Male,True,2025-10-31,25-34
C1078,47,Male,False,2025-01-24,45-54
C1079,52,Female,False,2024-09-27,45-54
C1080,66,Female,True,2024-08-08,55+
C1081,40,Female,True,2025-03-13,35-44
C1082,26,Male,True,2024-03-26,25-34
C1083,61,Not specified,True,2024-07-07,55+
C1084,50,Non-binary,True,2025-08-08,45-54
C1085,54,Female,False,2024-09-18,45-54
C1086,23,Male,True,2024-08-07,18-24
C1087,34,Female,True,2025-05-12,25-34
C1088,57,Male,True,2024-08-02,55+
C1089,61,Female,True,2024-04-12,55+
C1090,40,Non-binary,True,2024-06-08,35-44
C1091,59,Male,True,2024-07-16,55+
C1092,61,Female,False,2024-10-13,55+
C1093,38,Female,True,2025-06-25,35-44
C1094,64,Male,False,2024-06-23,55+
C1095,32,Female,False,2025-04-21,25-34
C1096,30,Male,True,2024-12-24,25-34
C1097,53,Male,False,2025-05-25,45-54
C1098,51,Male,False,2025-05-26,45-54
C1099,25,Female,False,2025-09-12,25-34
C1100,43,Female,True,2024-02-28,35-44
C1101,28,Female,True,2025-09-19,25-34
C1102,59,Non-binary,True,2025-11-01,55+
C1103,18,Female,False,2024-03-16,18-24
C1104,59,Female,False,2024-12-08,55+
C1105,58,Female,True,2025-02-28,55+
C1106,58,Non-binary,True,2024-08-02,55+
C1107,52,Female,False,2025-04-07,45-54
C1108,42,Male,True,2025-10-03,35-44
C1109,54,Male,False,2024-08-08,45-54
C1110,32,Male,False,2025-08-30,25-34
C1111,58,Not specified,True,2024-12-09,55+
C1112,46,Male,True,2024-03-07,45-54
C1113,41,Non-binary,True,2024-03-16,35-44
C1114,44,Female,False,2025-04-23,35-44
C1115,47,Male,True,2024-07-03,45-54
C1116,19,Male,True,2024-10-29,18-24
C1117,25,Male,True,2025-01-30,25-34
C1118,30,Male,True,2025-09-25,25-34
C1119,23,Not specified,False,2025-04-12,18-24
C1120,40,Male,True,2024-10-01,35-44
C1121,52,Male,False,2024-02-10,45-54
C1122,52,Female,False,2025-12-28,45-54
C1123,42,Female,False,2024-08-16,35-44
C1124,62,Female,True,2024-05-18,55+
C1125,47,Female,False,2024-03-06,45-54
C1126,22,Female,False,2025-03-10,18-24
C1127,57,Female,True,2025-10-10,55+
C1128,47,Male,False,2025-06-25,45-54
C1129,51,Female,False,2024-05-15,45-54
C1130,47,Non-binary,True,2024-04-26,45-54
C1131,46,Male,False,2024-10-12,45-54
C1132,22,Female,False,2025-10-07,18-24
C1133,47,Female,False,2025-10-07,45-54
C1134,59,Female,False,2025-01-31,55+
C1135,33,Not specified,True,2024-11-15,25-34
