customer_id,age,gender,loyalty_member,signup_date
C1000,22.0,Female,True,2025-01-23
C1001,58.0,Male,False,2024-10-01
C1002,52.0,Male,False,2025-08-12
C1003,40.0,Female,True,2024-06-16
C1004,40.0,Male,False,2024-12-09
C1005,62.0,Non-binary,True,2024-12-24
C1006,22.0,Male,False,2024-07-13
C1007,54.0,Male,True,2024-10-14
C1008,28.0,Female,False,2025-11-11
C1009,22.0,Non-binary,True,2025-06-13
C1010,45.0,Female,True,2025-08-30
C1011,68.0,Non-binary,False,2024-08-04
C1012,56.0,Male,True,2025-12-07
C1013,57.0,Female,True,2025-08-12
C1014,55.0,Female,True,2024-11-08
C1015,58.0,Male,False,2024-09-01
C1016,44.0,Male,False,2025-01-13
C1017,24.0,Female,False,2024-05-08
C1018,61.0,Male,True,2024-03-28
C1019,41.0,Male,True,2025-09-30
C1020,44.0,Male,True,2024-03-05
C1021,37.0,Female,False,2024-10-27
C1022,27.0,Female,False,2024-10-12
C1023,66.0,Male,False,2025-10-26
C1024,58.0,Female,False,2024-10-22
C1025,51.0,Male,True,2024-08-10
C1026,38.0,Female,False,2024-11-20
C1027,60.0,Male,False,2025-11-02
C1028,46.0,Female,True,2024-12-30
C1029,41.0,Female,True,2024-03-16
C1030,41.0,Male,True,2024-08-12
C1031,29.0,Male,True,2025-09-26
C1032,22.0,Male,True,2024-02-29
C1033,46.0,Non-binary,False,2024-02-29
C1034,64.0,Non-binary,False,2025-09-04
C1035,21.0,Male,True,2024-06-19
C1036,62.0,Female,False,2025-03-22
C1037,61.0,Male,False,2024-11-11
C1038,32.0,Male,False,2025-02-23
C1039,,Female,False,2024-07-02
C1040,26.0,Female,True,2024-02-03
C1041,57.0,Male,False,2024-06-23
C1042,54.0,Male,True,2024-03-20
C1043,,Male,True,2024-03-09
C1044,21.0,,False,2025-10-29
C1045,68.0,Male,False,2025-07-07
C1046,41.0,Female,False,2024-08-13
C1047,64.0,Female,False,2024-11-13
C1048,53.0,Female,False,2025-11-26
C1049,58.0,Female,True,2025-10-26
C1050,,Male,True,2025-01-01
C1051,28.0,Male,True,2024-10-26
C1052,36.0,Female,True,2025-09-05
C1053,42.0,Female,False,2025-09-03
C1054,43.0,Male,True,2025-10-02
C1055,20.0,Female,False,2024-12-01
C1056,46.0,Male,False,2025-12-26
C1057,26.0,Female,False,2024-11-26
C1058,56.0,Male,False,2025-02-01
C1059,53.0,Female,False,2025-02-08
C1060,65.0,Male,False,2024-09-12
C1061,56.0,Female,False,2024-12-31
C1062,37.0,Male,False,2024-08-09
C1063,68.0,Female,False,2024-07-15
C1064,39.0,Female,False,2024-03-27
C1065,34.0,Male,True,2024-06-20
C1066,65.0,Female,False,2025-01-03
C1067,37.0,Female,True,2025-01-21
C1068,21.0,Female,False,2025-07-20
C1069,42.0,Female,False,2024-11-07
C1070,59.0,Female,False,2025-09-25
C1071,27.0,Non-binary,False,2024-03-20
C1072,42.0,Female,True,2024-05-19
C1073,24.0,Male,False,2025-10-09
C1074,53.0,,True,2024-06-29
C1075,42.0,Female,True,2025-10-11
C1076,35.0,Male,True,2024-08-14
C1077,29.0,Male,True,2025-10-31
C1078,47.0,Male,False,2025-01-24
C1079,52.0,Female,False,2024-09-27
C1080,66.0,Female,True,2024-08-08
C1081,40.0,Female,True,2025-03-13
C1082,26.0,Male,True,2024-03-26
C1083,61.0,,True,2024-07-07
C1084,50.0,Non-binary,True,2025-08-08
C1085,54.0,Female,False,2024-09-18
C1086,23.0,Male,True,2024-08-07
C1087,34.0,Female,True,2025-05-12
C1088,57.0,Male,True,2024-08-02
C1089,61.0,Female,True,2024-04-12
C1090,40.0,Non-binary,True,2024-06-08
C1091,59.0,Male,True,2024-07-16
C1092,61.0,Female,False,2024-10-13
C1093,38.0,Female,True,2025-06-25
C1094,64.0,Male,False,2024-06-23
C1095,32.0,Female,False,2025-04-21
C1096,30.0,Male,True,2024-12-24
C1097,53.0,Male,False,2025-05-25
C1098,51.0,Male,False,2025-05-26
C1099,25.0,Female,False,2025-09-12
C1100,,Female,True,2024-02-28
