order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating,total_amount,month,day_of_week,age,gender,loyalty_member,signup_date,age_group
ORD10000,C1109,2025-02-17,University Ave,Tea,Chai Latte,1,4.47,Card,,4.47,February,Monday,54,Male,False,2024-08-08,45-54
ORD10001,C1267,2025-09-24,Downtown,Espresso Drinks,Latte,1,5.02,Cash,4.0,5.02,September,Wednesday,36,Female,True,2024-07-01,35-44
ORD10002,C1318,2025-01-09,Riverside,Espresso Drinks,Cappuccino,3,4.69,Mobile Pay,,14.07,January,Thursday,66,Not specified,False,2024-03-27,55+
ORD10003,C1109,2025-05-15,Downtown,Brewed Coffee,Cold Brew,2,3.8,Card,4.0,7.6,May,Thursday,54,Male,False,2024-08-08,45-54
ORD10004,C1490,2025-12-20,Downtown,Brewed Coffee,Drip Coffee,2,3.41,Mobile Pay,3.0,6.82,December,Saturday,66,Male,True,2024-04-24,55+
ORD10005,C1316,2025-03-05,Riverside,Brewed Coffee,Cold Brew,1,2.79,Mobile Pay,3.0,2.79,March,Wednesday,55,Female,False,2024-11-05,55+
ORD10006,C1153,2025-05-18,University Ave,Espresso Drinks,Latte,2,5.28,Card,5.0,10.56,May,Sunday,33,Non-binary,False,2024-03-29,25-34
ORD10007,C1574,2025-03-21,Downtown,Pastries,Cinnamon Roll,1,3.62,Cash,,3.62,March,Friday,18,Male,True,2025-03-15,18-24
ORD10008,C1036,2025-09-23,Riverside,Tea,Green Tea,2,3.7,Mobile Pay,3.0,7.4,September,Tuesday,62,Female,False,2025-03-22,55+
ORD10009,C1036,2025-06-18,Downtown,Espresso Drinks,Cappuccino,2,4.34,Card,,8.68,June,Wednesday,62,Female,False,2025-03-22,55+
ORD10010,C1308,2025-08-04,Downtown,Pastries,Croissant,3,4.37,Cash,,13.11,August,Monday,34,Female,False,2024-02-20,25-34
ORD10011,C1113,2025-12-10,University Ave,Espresso Drinks,Flat White,1,5.27,Mobile Pay,3.0,5.27,December,Wednesday,41,Non-binary,True,2024-03-16,35-44
ORD10012,C1394,2025-07-09,University Ave,Brewed Coffee,Pour Over,2,3.67,Card,,7.34,July,Wednesday,55,Male,True,2024-08-22,55+
ORD10013,C1191,2025-09-25,University Ave,Espresso Drinks,Americano,2,5.26,Mobile Pay,,10.52,September,Thursday,50,Male,False,2024-09-28,45-54
ORD10014,C1264,2025-02-05,Riverside,Espresso Drinks,Americano,1,4.86,Cash,5.0,4.86,February,Wednesday,69,Male,False,2024-11-12,55+
ORD10015,C1280,2025-03-20,Downtown,Espresso Drinks,Espresso Shot,1,4.71,Card,4.0,4.71,March,Thursday,32,Male,True,2024-12-20,25-34
ORD10016,C1463,2025-12-11,Riverside,Espresso Drinks,Espresso Shot,2,4.41,Card,3.0,8.82,December,Thursday,39,Female,False,2025-06-10,35-44
ORD10017,C1604,2025-11-09,Downtown,Brewed Coffee,Cold Brew,1,2.76,Card,5.0,2.76,November,Sunday,60,Male,True,2024-10-03,55+
ORD10018,C1315,2025-08-28,Downtown,Brewed Coffee,Pour Over,2,3.3,Mobile Pay,3.0,6.6,August,Thursday,52,Female,False,2024-11-15,45-54
ORD10019,C1421,2025-05-18,University Ave,Espresso Drinks,Espresso Shot,1,3.85,Mobile Pay,,3.85,May,Sunday,54,Female,False,2025-08-07,45-54
ORD10020,C1382,2025-03-14,Riverside,Espresso Drinks,Latte,1,3.8,Mobile Pay,,3.8,March,Friday,67,Male,False,2024-08-07,55+
ORD10021,C1563,2025-11-07,Riverside,Food,Breakfast Sandwich,3,6.27,Card,,18.81,November,Friday,27,Male,True,2024-05-04,25-34
ORD10022,C1193,2025-10-13,Downtown,Espresso Drinks,Americano,3,5.61,Gift Card,5.0,16.83,October,Monday,36,Male,True,2025-12-06,35-44
ORD10023,C1033,2025-03-29,Downtown,Brewed Coffee,Drip Coffee,1,3.19,Card,,3.19,March,Saturday,46,Non-binary,False,2024-02-29,45-54
ORD10024,C1278,2025-08-03,Riverside,Espresso Drinks,Americano,1,4.14,Card,4.0,4.14,August,Sunday,21,Not specified,False,2025-03-14,18-24
ORD10025,C1002,2025-08-14,Riverside,Espresso Drinks,Cappuccino,1,4.63,Card,,4.63,August,Thursday,52,Male,False,2025-08-12,45-54
ORD10026,C1560,2025-06-23,Riverside,Espresso Drinks,Espresso Shot,2,5.39,Mobile Pay,4.0,10.78,June,Monday,45,Male,False,2024-10-21,45-54
ORD10027,C1066,2025-12-04,Riverside,Brewed Coffee,Pour Over,1,3.73,Card,,3.73,December,Thursday,65,Female,False,2025-01-03,55+
ORD10028,C1475,2025-02-15,University Ave,Food,Breakfast Sandwich,1,6.65,Mobile Pay,2.0,6.65,February,Saturday,58,Male,False,2024-05-20,55+
ORD10029,C1318,2025-04-04,Riverside,Espresso Drinks,Americano,2,5.67,Card,4.0,11.34,April,Friday,66,Not specified,False,2024-03-27,55+
ORD10030,C1394,2025-02-04,Downtown,Tea,Green Tea,2,4.25,Gift Card,,8.5,February,Tuesday,55,Male,True,2024-08-22,55+
ORD10031,C1215,2025-09-10,Downtown,Espresso Drinks,Espresso Shot,2,4.98,Gift Card,,9.96,September,Wednesday,32,Female,False,2024-08-30,25-34
ORD10032,C1625,2025-08-23,Downtown,Brewed Coffee,Drip Coffee,3,3.71,Cash,,11.13,August,Saturday,30,Female,True,2024-08-19,25-34
ORD10033,C1163,2025-12-26,Downtown,Espresso Drinks,Espresso Shot,2,5.48,Cash,,10.96,December,Friday,39,Female,False,2025-06-16,35-44
ORD10034,C1095,2025-07-17,University Ave,Pastries,Muffin,1,3.89,Cash,,3.89,July,Thursday,32,Female,False,2025-04-21,25-34
ORD10035,C1160,2025-02-24,Downtown,Espresso Drinks,Espresso Shot,3,4.91,Mobile Pay,,14.73,February,Monday,69,Male,True,2025-12-01,55+
ORD10036,C1309,2025-06-14,University Ave,Tea,Herbal Tea,2,4.14,Cash,3.0,8.28,June,Saturday,23,Female,False,2025-03-18,18-24
ORD10037,C1423,2025-02-02,Downtown,Espresso Drinks,Espresso Shot,3,5.52,Card,,16.56,February,Sunday,48,Male,False,2024-12-29,45-54
ORD10038,C1318,2025-09-02,Downtown,Tea,Herbal Tea,1,4.33,Card,3.0,4.33,September,Tuesday,66,Not specified,False,2024-03-27,55+
ORD10039,C1422,2025-09-03,University Ave,Espresso Drinks,Cappuccino,1,5.31,Mobile Pay,,5.31,September,Wednesday,57,Male,False,2024-07-20,55+
ORD10040,C1536,2025-11-09,Riverside,Brewed Coffee,Pour Over,2,3.24,Card,,6.48,November,Sunday,41,Female,True,2025-09-23,35-44
ORD10041,C1267,2025-05-04,Downtown,Brewed Coffee,Cold Brew,2,3.0,Mobile Pay,,6.0,May,Sunday,36,Female,True,2024-07-01,35-44
ORD10042,C1385,2025-04-23,Riverside,Brewed Coffee,Drip Coffee,1,2.97,Cash,,2.97,April,Wednesday,24,Female,False,2024-07-30,18-24
ORD10043,C1020,2025-01-26,University Ave,Tea,Herbal Tea,3,4.15,Mobile Pay,,12.45,January,Sunday,44,Male,True,2024-03-05,35-44
ORD10044,C1238,2025-06-01,Downtown,Pastries,Scone,1,4.12,Mobile Pay,5.0,4.12,June,Sunday,34,Male,True,2025-12-20,25-34
ORD10045,C1132,2025-06-23,Downtown,Pastries,Muffin,1,3.65,Card,5.0,3.65,June,Monday,22,Female,False,2025-10-07,18-24
ORD10046,C1400,2025-10-02,Downtown,Tea,Green Tea,1,3.42,Card,4.0,3.42,October,Thursday,69,Male,False,2025-01-10,55+
ORD10047,C1124,2025-10-02,University Ave,Espresso Drinks,Flat White,2,3.94,Mobile Pay,,7.88,October,Thursday,62,Female,True,2024-05-18,55+
