order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating,total_amount,month,day_of_week
ORD10000,C1109,2025-02-17,University Ave,Tea,Chai Latte,1,4.47,Card,,4.47,February,Monday
ORD10001,C1267,2025-09-24,Downtown,Espresso Drinks,Latte,1,5.02,Cash,4.0,5.02,September,Wednesday
ORD10002,C1318,2025-01-09,Riverside,Espresso Drinks,Cappuccino,3,4.69,Mobile Pay,,14.07,January,Thursday
ORD10003,C1109,2025-05-15,Downtown,Brewed Coffee,Cold Brew,2,3.8,Card,4.0,7.6,May,Thursday
ORD10004,C1490,2025-12-20,Downtown,Brewed Coffee,Drip Coffee,2,3.41,Mobile Pay,3.0,6.82,December,Saturday
ORD10005,C1316,2025-03-05,Riverside,Brewed Coffee,Cold Brew,1,2.79,Mobile Pay,3.0,2.79,March,Wednesday
ORD10006,C1153,2025-05-18,University Ave,Espresso Drinks,Latte,2,5.28,Card,5.0,10.56,May,Sunday
ORD10007,C1574,2025-03-21,Downtown,Pastries,Cinnamon Roll,1,3.62,Cash,,3.62,March,Friday
ORD10008,C1036,2025-09-23,Riverside,Tea,Green Tea,2,3.7,Mobile Pay,3.0,7.4,September,Tuesday
ORD10009,C1036,2025-06-18,Downtown,Espresso Drinks,Cappuccino,2,4.34,Card,,8.68,June,Wednesday
ORD10010,C1308,2025-08-04,Downtown,Pastries,Croissant,3,4.37,Cash,,13.11,August,Monday
ORD10011,C1113,2025-12-10,University Ave,Espresso Drinks,Flat White,1,5.27,Mobile Pay,3.0,5.27,December,Wednesday
ORD10012,C1394,2025-07-09,University Ave,Brewed Coffee,Pour Over,2,3.67,Card,,7.34,July,Wednesday
ORD10013,C1191,2025-09-25,University Ave,Espresso Drinks,Americano,2,5.26,Mobile Pay,,10.52,September,Thursday
ORD10014,C1264,2025-02-05,Riverside,Espresso Drinks,Americano,1,4.86,Cash,5.0,4.86,February,Wednesday
ORD10015,C1280,2025-03-20,Downtown,Espresso Drinks,Espresso Shot,1,4.71,Card,4.0,4.71,March,Thursday
ORD10016,C1463,2025-12-11,Riverside,Espresso Drinks,Espresso Shot,2,4.41,Card,3.0,8.82,December,Thursday
ORD10017,C1604,2025-11-09,Downtown,Brewed Coffee,Cold Brew,1,2.76,Card,5.0,2.76,November,Sunday
ORD10018,C1315,2025-08-28,Downtown,Brewed Coffee,Pour Over,2,3.3,Mobile Pay,3.0,6.6,August,Thursday
ORD10019,C1421,2025-05-18,University Ave,Espresso Drinks,Espresso Shot,1,3.85,Mobile Pay,,3.85,May,Sunday
ORD10020,C1382,2025-03-14,Riverside,Espresso Drinks,Latte,1,3.8,Mobile Pay,,3.8,March,Friday
ORD10021,C1563,2025-11-07,Riverside,Food,Breakfast Sandwich,3,6.27,Card,,18.81,November,Friday
ORD10022,C1193,2025-10-13,Downtown,Espresso Drinks,Americano,3,5.61,Gift Card,5.0,16.83,October,Monday
ORD10023,C1033,2025-03-29,Downtown,Brewed Coffee,Drip Coffee,1,3.19,Card,,3.19,March,Saturday
ORD10024,C1278,2025-08-03,Riverside,Espresso Drinks,Americano,1,4.14,Card,4.0,4.14,August,Sunday
ORD10025,C1002,2025-08-14,Riverside,Espresso Drinks,Cappuccino,1,4.63,Card,,4.63,August,Thursday
ORD10026,C1560,2025-06-23,Riverside,Espresso Drinks,Espresso Shot,2,5.39,Mobile Pay,4.0,10.78,June,Monday
ORD10027,C1066,2025-12-04,Riverside,Brewed Coffee,Pour Over,1,3.73,Card,,3.73,December,Thursday
ORD10028,C1475,2025-02-15,University Ave,Food,Breakfast Sandwich,1,6.65,Mobile Pay,2.0,6.65,February,Saturday
ORD10029,C1318,2025-04-04,Riverside,Espresso Drinks,Americano,2,5.67,Card,4.0,11.34,April,Friday
ORD10030,C1394,2025-02-04,Downtown,Tea,Green Tea,2,4.25,Gift Card,,8.5,February,Tuesday
ORD10031,C1215,2025-09-10,Downtown,Espresso Drinks,Espresso Shot,2,4.98,Gift Card,,9.96,September,Wednesday
ORD10032,C1625,2025-08-23,Downtown,Brewed Coffee,Drip Coffee,3,3.71,Cash,,11.13,August,Saturday
ORD10033,C1163,2025-12-26,Downtown,Espresso Drinks,Espresso Shot,2,5.48,Cash,,10.96,December,Friday
ORD10034,C1095,2025-07-17,University Ave,Pastries,Muffin,1,3.89,Cash,,3.89,July,Thursday
ORD10035,C1160,2025-02-24,Downtown,Espresso Drinks,Espresso Shot,3,4.91,Mobile Pay,,14.73,February,Monday
ORD10036,C1309,2025-06-14,University Ave,Tea,Herbal Tea,2,4.14,Cash,3.0,8.28,June,Saturday
ORD10037,C1423,2025-02-02,Downtown,Espresso Drinks,Espresso Shot,3,5.52,Card,,16.56,February,Sunday
ORD10038,C1318,2025-09-02,Downtown,Tea,Herbal Tea,1,4.33,Card,3.0,4.33,September,Tuesday
ORD10039,C1422,2025-09-03,University Ave,Espresso Drinks,Cappuccino,1,5.31,Mobile Pay,,5.31,September,Wednesday
ORD10040,C1536,2025-11-09,Riverside,Brewed Coffee,Pour Over,2,3.24,Card,,6.48,November,Sunday
ORD10041,C1267,2025-05-04,Downtown,Brewed Coffee,Cold Brew,2,3.0,Mobile Pay,,6.0,May,Sunday
ORD10042,C1385,2025-04-23,Riverside,Brewed Coffee,Drip Coffee,1,2.97,Cash,,2.97,April,Wednesday
ORD10043,C1020,2025-01-26,University Ave,Tea,Herbal Tea,3,4.15,Mobile Pay,,12.45,January,Sunday
ORD10044,C1238,2025-06-01,Downtown,Pastries,Scone,1,4.12,Mobile Pay,5.0,4.12,June,Sunday
ORD10045,C1132,2025-06-23,Downtown,Pastries,Muffin,1,3.65,Card,5.0,3.65,June,Monday
ORD10046,C1400,2025-10-02,Downtown,Tea,Green Tea,1,3.42,Card,4.0,3.42,October,Thursday
ORD10047,C1124,2025-10-02,University Ave,Espresso Drinks,Flat White,2,3.94,Mobile Pay,,7.88,October,Thursday
ORD10048,C1598,2025-02-21,Riverside,Brewed Coffee,Drip Coffee,2,2.75,Cash,5.0,5.5,February,Friday
ORD10049,C1649,2025-04-14,Downtown,Brewed Coffee,Cold Brew,2,3.74,Card,5.0,7.48,April,Monday
ORD10050,C1202,2025-07-06,Downtown,Espresso Drinks,Cappuccino,3,4.76,Card,,14.28,July,Sunday
ORD10051,C1111,2025-05-02,University Ave,Tea,Green Tea,1,3.74,Card,,3.74,May,Friday
ORD10052,C1287,2025-01-10,Riverside,Brewed Coffee,Drip Coffee,1,3.76,Card,5.0,3.76,January,Friday
ORD10053,C1162,2025-11-04,University Ave,Espresso Drinks,Americano,3,4.79,Mobile Pay,,14.37,November,Tuesday
ORD10054,C1483,2025-09-24,University Ave,Brewed Coffee,Drip Coffee,1,3.58,Mobile Pay,,3.58,September,Wednesday
ORD10055,C1388,2025-07-09,Downtown,Espresso Drinks,Cappuccino,1,4.1,Mobile Pay,,4.1,July,Wednesday
ORD10056,C1168,2025-04-26,Downtown,Espresso Drinks,Flat White,1,5.62,Cash,,5.62,April,Saturday
ORD10057,C1113,2025-11-03,Downtown,Brewed Coffee,Cold Brew,3,2.94,Mobile Pay,3.0,8.82,November,Monday
ORD10058,C1353,2025-01-13,Downtown,Pastries,Muffin,2,3.48,Card,4.0,6.96,January,Monday
ORD10059,C1465,2025-06-12,Riverside,Espresso Drinks,Flat White,2,5.02,Mobile Pay,,10.04,June,Thursday
ORD10060,C1188,2025-10-19,University Ave,Brewed Coffee,Pour Over,1,3.65,Mobile Pay,,3.65,October,Sunday
ORD10061,C1361,2025-12-13,Riverside,Tea,Herbal Tea,1,4.16,Card,3.0,4.16,December,Saturday
ORD10062,C1106,2025-04-02,Downtown,Tea,Green Tea,1,3.71,Card,,3.71,April,Wednesday
ORD10063,C1477,2025-08-25,Downtown,Tea,Green Tea,1,4.09,Cash,,4.09,August,Monday
ORD10064,C1173,2025-03-11,Downtown,Tea,Green Tea,2,4.58,Card,,9.16,March,Tuesday
ORD10065,C1052,2025-02-12,Downtown,Food,Bagel,2,7.09,Card,,14.18,February,Wednesday
ORD10066,C1645,2025-05-09,Downtown,Food,Bagel,1,7.15,Mobile Pay,5.0,7.15,May,Friday
ORD10067,C1427,2025-11-19,Downtown,Brewed Coffee,Drip Coffee,2,4.05,Card,,8.1,November,Wednesday
ORD10068,C1492,2025-09-08,Downtown,Pastries,Croissant,1,4.21,Card,,4.21,September,Monday
ORD10069,C1579,2025-06-28,University Ave,Pastries,Scone,1,4.02,Card,5.0,4.02,June,Saturday
ORD10070,C1290,2025-04-13,Downtown,Tea,Herbal Tea,2,4.28,Cash,5.0,8.56,April,Sunday
ORD10071,C1501,2025-02-21,Downtown,Espresso Drinks,Espresso Shot,2,3.88,Mobile Pay,,7.76,February,Friday
ORD10072,C1268,2025-04-09,Downtown,Espresso Drinks,Flat White,2,5.11,Mobile Pay,5.0,10.22,April,Wednesday
ORD10073,C1576,2025-02-25,Downtown,Pastries,Croissant,2,2.64,Gift Card,5.0,5.28,February,Tuesday
ORD10074,C1032,2025-03-10,Downtown,Brewed Coffee,Pour Over,1,2.88,Card,,2.88,March,Monday
ORD10075,C1493,2025-09-08,Downtown,Food,Avocado Toast,2,7.35,Card,4.0,14.7,September,Monday
ORD10076,C1529,2025-02-18,University Ave,Espresso Drinks,Flat White,3,4.2,Card,5.0,12.6,February,Tuesday
ORD10077,C1342,2025-01-18,University Ave,Brewed Coffee,Drip Coffee,3,3.86,Card,4.0,11.58,January,Saturday
ORD10078,C1075,2025-07-17,Downtown,Espresso Drinks,Espresso Shot,3,5.0,Card,3.0,15.0,July,Thursday
ORD10079,C1501,2025-04-15,University Ave,Brewed Coffee,Cold Brew,2,3.81,Mobile Pay,,7.62,April,Tuesday
ORD10080,C1418,2025-06-15,Riverside,Brewed Coffee,Pour Over,2,3.05,Cash,4.0,6.1,June,Sunday
ORD10081,C1515,2025-02-20,Downtown,Espresso Drinks,Americano,1,5.12,Card,,5.12,February,Thursday
ORD10082,C1217,2025-03-18,Riverside,Espresso Drinks,Espresso Shot,3,4.78,Card,2.0,14.34,March,Tuesday
ORD10083,C1568,2025-06-10,Riverside,Food,Bagel,3,8.09,Card,,24.27,June,Tuesday
ORD10084,C1277,2025-09-09,University Ave,Tea,Chai Latte,2,4.15,Mobile Pay,3.0,8.3,September,Tuesday
ORD10085,C1333,2025-05-31,Downtown,Pastries,Muffin,2,3.08,Card,,6.16,May,Saturday
ORD10086,C1072,2025-07-17,Riverside,Espresso Drinks,Americano,1,4.31,Mobile Pay,,4.31,July,Thursday
ORD10087,C1463,2025-07-09,Downtown,Espresso Drinks,Espresso Shot,3,3.92,Card,4.0,11.76,July,Wednesday
ORD10088,C1193,2025-04-08,University Ave,Brewed Coffee,Drip Coffee,3,2.79,Cash,3.0,8.37,April,Tuesday
ORD10089,C1039,2025-04-12,Riverside,Espresso Drinks,Espresso Shot,1,5.67,Mobile Pay,4.0,5.67,April,Saturday
ORD10090,C1573,2025-06-04,University Ave,Espresso Drinks,Espresso Shot,2,3.77,Cash,4.0,7.54,June,Wednesday
ORD10091,C1302,2025-01-12,University Ave,Espresso Drinks,Latte,3,4.25,Card,,12.75,January,Sunday
ORD10092,C1413,2025-09-07,University Ave,Pastries,Scone,2,3.03,Mobile Pay,,6.06,September,Sunday
ORD10093,C1386,2025-08-12,Riverside,Espresso Drinks,Cappuccino,1,4.67,Card,3.0,4.67,August,Tuesday
ORD10094,C1203,2025-04-22,Downtown,Espresso Drinks,Cappuccino,3,4.37,Mobile Pay,4.0,13.11,April,Tuesday
ORD10095,C1323,2025-05-17,Downtown,Espresso Drinks,Espresso Shot,2,5.74,Card,3.0,11.48,May,Saturday
ORD10096,C1589,2025-04-30,Riverside,Pastries,Scone,2,3.26,Mobile Pay,,6.52,April,Wednesday
ORD10097,C1218,2025-08-26,Riverside,Food,Avocado Toast,3,8.08,Cash,,24.24,August,Tuesday
ORD10098,C1047,2025-10-04,Riverside,Espresso Drinks,Latte,2,4.75,Mobile Pay,4.0,9.5,October,Saturday
ORD10099,C1039,2025-02-09,Downtown,Tea,Green Tea,1,4.48,Gift Card,5.0,4.48,February,Sunday
ORD10100,C1476,2025-05-31,University Ave,Pastries,Croissant,1,2.85,Card,,2.85,May,Saturday
ORD10101,C1566,2025-01-06,Downtown,Food,Avocado Toast,3,6.86,Card,4.0,20.58,January,Monday
ORD10102,C1533,2025-06-14,Riverside,Brewed Coffee,Pour Over,2,3.15,Cash,,6.3,June,Saturday
ORD10103,C1255,2025-04-01,Downtown,Espresso Drinks,Flat White,1,4.89,Card,,4.89,April,Tuesday
ORD10104,C1539,2025-05-03,University Ave,Brewed Coffee,Drip Coffee,2,2.95,Card,4.0,5.9,May,Saturday
ORD10105,C1147,2025-06-16,Riverside,Tea,Green Tea,1,3.54,Card,,3.54,June,Monday
ORD10106,C1446,2025-04-28,Riverside,Espresso Drinks,Flat White,3,5.21,Gift Card,,15.63,April,Monday
ORD10107,C1226,2025-05-24,Downtown,Brewed Coffee,Drip Coffee,2,3.58,Card,5.0,7.16,May,Saturday
ORD10108,C1153,2025-10-06,Downtown,Espresso Drinks,Flat White,3,3.92,Mobile Pay,,11.76,October,Monday
ORD10109,C1390,2025-10-22,Downtown,Pastries,Muffin,1,3.18,Card,,3.18,October,Wednesday
ORD10110,C1630,2025-01-03,Riverside,Espresso Drinks,Latte,1,5.03,Gift Card,,5.03,January,Friday
ORD10111,C1186,2025-05-18,Downtown,Brewed Coffee,Pour Over,1,2.89,Mobile Pay,,2.89,May,Sunday
ORD10112,C1476,2025-11-05,University Ave,Pastries,Cinnamon Roll,1,2.69,Card,,2.69,November,Wednesday
ORD10113,C1468,2025-07-13,University Ave,Pastries,Croissant,2,3.8,Card,,7.6,July,Sunday
ORD10114,C1005,2025-03-16,University Ave,Brewed Coffee,Pour Over,2,3.39,Card,,6.78,March,Sunday
ORD10115,C1254,2025-08-05,Downtown,Brewed Coffee,Cold Brew,2,3.05,Mobile Pay,3.0,6.1,August,Tuesday
ORD10116,C1031,2025-02-22,Downtown,Espresso Drinks,Flat White,2,3.84,Gift Card,,7.68,February,Saturday
