order_id,customer_id,order_date,store_location,category,item,quantity,unit_price,payment_method,satisfaction_rating
ORD10000,C1109,2025-02-17,University Ave,Tea,Chai Latte,1,4.47,Card,
ORD10001,C1267,2025-09-24,Downtown,Espresso Drinks,Latte,1,5.02,Cash,4.0
ORD10002,C1318,2025-01-09,Riverside,Espresso Drinks,Cappuccino,3,4.69,Mobile Pay,
ORD10003,C1109,2025-05-15,Downtown,Brewed Coffee,Cold Brew,2,3.8,Card,4.0
ORD10004,C1490,2025-12-20,Downtown,Brewed Coffee,Drip Coffee,2,3.41,Mobile Pay,3.0
ORD10005,C1316,2025-03-05,Riverside,Brewed Coffee,Cold Brew,1,2.79,Mobile Pay,3.0
ORD10006,C1153,2025-05-18,University Ave,Espresso Drinks,Latte,2,5.28,Card,5.0
ORD10007,C1574,2025-03-21,Downtown,Pastries,Cinnamon Roll,1,3.62,Cash,
ORD10008,C1036,2025-09-23,Riverside,Tea,Green Tea,2,3.7,Mobile Pay,3.0
ORD10009,C1036,2025-06-18,Downtown,Espresso Drinks,Cappuccino,2,4.34,Card,
ORD10010,C1308,2025-08-04,Downtown,Pastries,Croissant,3,4.37,Cash,
ORD10011,C1113,2025-12-10,University Ave,Espresso Drinks,Flat White,1,5.27,Mobile Pay,3.0
ORD10012,C1394,2025-07-09,University Ave,Brewed Coffee,Pour Over,2,3.67,Card,
ORD10013,C1191,2025-09-25,University Ave,Espresso Drinks,Americano,2,5.26,Mobile Pay,
ORD10014,C1264,2025-02-05,Riverside,Espresso Drinks,Americano,1,4.86,Cash,5.0
ORD10015,C1280,2025-03-20,Downtown,Espresso Drinks,Espresso Shot,1,4.71,Card,4.0
ORD10016,C1463,2025-12-11, Riverside ,Espresso Drinks,Espresso Shot,2,4.41,Card,3.0
ORD10017,C1604,2025-11-09, Downtown ,Brewed Coffee,Cold Brew,1,2.76,Card,5.0
ORD10018,C1315,2025-08-28,Downtown,Brewed Coffee,Pour Over,2,3.3,Mobile Pay,3.0
ORD10019,C1421,2025-05-18,University Ave,Espresso Drinks,Espresso Shot,1,3.85,Mobile Pay,
ORD10020,C1382,2025-03-14,Riverside,Espresso Drinks,Latte,1,3.8,Mobile Pay,
ORD10021,C1563,2025-11-07,Riverside,Food,Breakfast Sandwich,3,6.27,Card,
ORD10022,C1193,2025-10-13,Downtown,Espresso Drinks,Americano,3,5.61,Gift Card,5.0
ORD10023,C1033,2025-03-29,Downtown,Brewed Coffee,Drip Coffee,1,3.19,Card,
ORD10024,C1278,2025-08-03,Riverside,Espresso Drinks,Americano,1,4.14,Card,4.0
ORD10025,C1002,2025-08-14,Riverside,Espresso Drinks,Cappuccino,1,4.63,Card,
ORD10026,C1560,2025-06-23,Riverside,Espresso Drinks,Espresso Shot,2,5.39,Mobile Pay,4.0
ORD10027,C1066,2025-12-04,Riverside,Brewed Coffee,Pour Over,1,3.73,Card,
ORD10028,C1475,2025-02-15,University Ave,Food,Breakfast Sandwich,1,6.65,Mobile Pay,2.0
ORD10029,C1318,2025-04-04,Riverside,Espresso Drinks,Americano,2,5.67,Card,4.0
ORD10030,C1394,2025-02-04,Downtown,Tea,Green Tea,2,4.25,Gift Card,
ORD10031,C1215,2025-09-10,Downtown,Espresso Drinks,Espresso Shot,2,4.98,Gift Card,
ORD10032,C1625,2025-08-23,Downtown,Brewed Coffee,Drip Coffee,3,3.71,Cash,
ORD10033,C1163,2025-12-26,Downtown,Espresso Drinks,Espresso Shot,2,5.48,Cash,
ORD10034,C1095,2025-07-17,University Ave,Pastries,Muffin,1,3.89,Cash,
ORD10035,C1160,2025-02-24,Downtown,Espresso Drinks,Espresso Shot,3,4.91,Mobile Pay,
ORD10036,C1309,2025-06-14, University Ave ,Tea,Herbal Tea,2,4.14,Cash,3.0
ORD10037,C1423,2025-02-02,Downtown,Espresso Drinks,Espresso Shot,3,5.52,Card,
ORD10038,C1318,2025-09-02,Downtown,Tea,Herbal Tea,1,4.33,Card,3.0
ORD10039,C1422,2025-09-03,University Ave,Espresso Drinks,Cappuccino,1,5.31,Mobile Pay,
ORD10040,C1536,2025-11-09,Riverside,Brewed Coffee,Pour Over,2,3.24,Card,
ORD10041,C1267,2025-05-04,Downtown,Brewed Coffee,Cold Brew,2,3.0,Mobile Pay,
ORD10042,C1385,2025-04-23,Riverside,Brewed Coffee,Drip Coffee,1,2.97,Cash,
ORD10043,C1020,2025-01-26,University Ave,Tea,Herbal Tea,3,4.15,Mobile Pay,
ORD10044,C1238,2025-06-01,Downtown,Pastries,Scone,1,4.12,Mobile Pay,5.0
ORD10045,C1132,2025-06-23,Downtown,Pastries,Muffin,1,3.65,Card,5.0
ORD10046,C1400,2025-10-02,Downtown,Tea,Green Tea,1,3.42,Card,4.0
ORD10047,C1124,2025-10-02,University Ave,Espresso Drinks,Flat White,2,3.94,Mobile Pay,
ORD10048,C1598,2025-02-21,Riverside,Brewed Coffee,Drip Coffee,2,2.75,Cash,5.0
ORD10049,C1649,2025-04-14,downtown,Brewed Coffee,Cold Brew,2,3.74,Card,5.0
ORD10050,C1202,2025-07-06, Downtown ,Espresso Drinks,Cappuccino,3,4.76,Card,
ORD10051,C1111,2025-05-02, University Ave ,Tea,Green Tea,1,3.74,Card,
ORD10052,C1287,2025-01-10,riverside,Brewed Coffee,Drip Coffee,1,3.76,Card,5.0
ORD10053,C1162,2025-11-04,University Ave,Espresso Drinks,Americano,3,4.79,Mobile Pay,
ORD10054,C1483,2025-09-24,University Ave,Brewed Coffee,Drip Coffee,1,3.58,Mobile Pay,
ORD10055,C1388,2025-07-09,Downtown,Espresso Drinks,Cappuccino,1,4.1,Mobile Pay,
ORD10056,C1168,2025-04-26,Downtown,Espresso Drinks,Flat White,1,5.62,Cash,
ORD10057,C1113,2025-11-03,Downtown,Brewed Coffee,Cold Brew,3,2.94,Mobile Pay,3.0
ORD10058,C1353,2025-01-13,Downtown,Pastries,Muffin,2,3.48,Card,4.0
ORD10059,C1465,2025-06-12, Riverside ,Espresso Drinks,Flat White,2,5.02,Mobile Pay,
ORD10060,C1188,2025-10-19,University Ave,Brewed Coffee,Pour Over,1,3.65,Mobile Pay,
ORD10061,C1361,2025-12-13,Riverside,Tea,Herbal Tea,1,4.16,Card,3.0
ORD10062,C1106,2025-04-02,Downtown,Tea,Green Tea,1,3.71,Card,
ORD10063,C1477,2025-08-25,Downtown,Tea,Green Tea,1,4.09,Cash,
ORD10064,C1173,2025-03-11,Downtown,Tea,Green Tea,2,4.58,Card,
ORD10065,C1052,2025-02-12,Downtown,Food,Bagel,2,7.09,Card,
ORD10066,C1645,2025-05-09,Downtown,Food,Bagel,1,7.15,Mobile Pay,5.0
ORD10067,C1427,2025-11-19,Downtown,Brewed Coffee,Drip Coffee,2,4.05,Card,
ORD10068,C1492,2025-09-08,Downtown,Pastries,Croissant,1,4.21,Card,
ORD10069,C1579,2025-06-28, University Ave ,Pastries,Scone,1,4.02,Card,5.0
ORD10070,C1290,2025-04-13,Downtown,Tea,Herbal Tea,2,4.28,Cash,5.0
ORD10071,C1501,2025-02-21,Downtown,Espresso Drinks,Espresso Shot,2,3.88,Mobile Pay,
ORD10072,C1268,2025-04-09,Downtown,Espresso Drinks,Flat White,2,5.11,Mobile Pay,5.0
ORD10073,C1576,2025-02-25,Downtown,Pastries,Croissant,2,2.64,Gift Card,5.0
ORD10074,C1032,2025-03-10,Downtown,Brewed Coffee,Pour Over,1,2.88,Card,
ORD10075,C1493,2025-09-08,Downtown,Food,Avocado Toast,2,7.35,Card,4.0
ORD10076,C1529,2025-02-18,University Ave,Espresso Drinks,Flat White,3,4.2,Card,5.0
ORD10077,C1342,2025-01-18,University Ave,Brewed Coffee,Drip Coffee,3,3.86,Card,4.0
ORD10078,C1075,2025-07-17,Downtown,Espresso Drinks,Espresso Shot,3,5.0,Card,3.0
ORD10079,C1501,2025-04-15,University Ave,Brewed Coffee,Cold Brew,2,3.81,Mobile Pay,
ORD10080,C1418,2025-06-15,Riverside,Brewed Coffee,Pour Over,2,3.05,Cash,4.0
ORD10081,C1515,2025-02-20,Downtown,Espresso Drinks,Americano,1,5.12,Card,
ORD10082,C1217,2025-03-18,Riverside,Espresso Drinks,Espresso Shot,3,4.78,Card,2.0
ORD10083,C1568,2025-06-10,Riverside,Food,Bagel,3,8.09,Card,
ORD10084,C1277,2025-09-09,University Ave,Tea,Chai Latte,2,4.15,Mobile Pay,3.0
ORD10085,C1333,2025-05-31,Downtown,Pastries,Muffin,2,3.08,Card,
ORD10086,C1072,2025-07-17,Riverside,Espresso Drinks,Americano,1,4.31,Mobile Pay,
ORD10087,C1463,2025-07-09,Downtown,Espresso Drinks,Espresso Shot,3,3.92,Card,4.0
ORD10088,C1193,2025-04-08,University Ave,Brewed Coffee,Drip Coffee,3,2.79,Cash,3.0
ORD10089,C1039,2025-04-12,Riverside,Espresso Drinks,Espresso Shot,1,5.67,Mobile Pay,4.0
ORD10090,C1573,2025-06-04,University Ave,Espresso Drinks,Espresso Shot,2,3.77,Cash,4.0
ORD10091,C1302,2025-01-12,University Ave,Espresso Drinks,Latte,3,4.25,Card,
ORD10092,C1413,2025-09-07,University Ave,Pastries,Scone,2,3.03,Mobile Pay,
ORD10093,C1386,2025-08-12,Riverside,Espresso Drinks,Cappuccino,1,4.67,Card,3.0
ORD10094,C1203,2025-04-22,Downtown,Espresso Drinks,Cappuccino,3,4.37,Mobile Pay,4.0
ORD10095,C1323,2025-05-17,Downtown,Espresso Drinks,Espresso Shot,2,5.74,Card,3.0
ORD10096,C1589,2025-04-30,Riverside,Pastries,Scone,2,3.26,Mobile Pay,
ORD10097,C1218,2025-08-26,Riverside,Food,Avocado Toast,3,8.08,Cash,
ORD10098,C1047,2025-10-04,Riverside,Espresso Drinks,Latte,2,4.75,Mobile Pay,4.0
ORD10099,C1039,2025-02-09,Downtown,Tea,Green Tea,1,4.48,Gift Card,5.0
ORD10100,C1476,2025-05-31,University Ave,Pastries,Croissant,1,2.85,Card,
ORD10101,C1566,2025-01-06,Downtown,Food,Avocado Toast,3,6.86,Card,4.0
ORD10102,C1533,2025-06-14,Riverside,Brewed Coffee,Pour Over,2,3.15,Cash,
ORD10103,C1255,2025-04-01,Downtown,Espresso Drinks,Flat White,1,4.89,Card,
ORD10104,C1539,2025-05-03, University Ave ,Brewed Coffee,Drip Coffee,2,2.95,Card,4.0
ORD10105,C1147,2025-06-16,Riverside,Tea,Green Tea,1,3.54,Card,
ORD10106,C1446,2025-04-28,Riverside,Espresso Drinks,Flat White,3,5.21,Gift Card,
ORD10107,C1226,2025-05-24,Downtown,Brewed Coffee,Drip Coffee,2,3.58,Card,5.0
ORD10108,C1153,2025-10-06,Downtown,Espresso Drinks,Flat White,3,3.92,Mobile Pay,
ORD10109,C1390,2025-10-22,Downtown,Pastries,Muffin,1,3.18,Card,
ORD10110,C1630,2025-01-03,Riverside,Espresso Drinks,Latte,1,5.03,Gift Card,
ORD10111,C1186,2025-05-18,Downtown,Brewed Coffee,Pour Over,1,2.89,Mobile Pay,
ORD10112,C1476,2025-11-05,University Ave,Pastries,Cinnamon Roll,1,2.69,Card,
ORD10113,C1468,2025-07-13,University Ave,Pastries,Croissant,2,3.8,Card,
ORD10114,C1005,2025-03-16,University Ave,Brewed Coffee,Pour Over,2,3.39,Card,
ORD10115,C1254,2025-08-05,Downtown,Brewed Coffee,Cold Brew,2,3.05,Mobile Pay,3.0
ORD10116,C1031,2025-02-22,Downtown,Espresso Drinks,Flat White,2,3.84,Gift Card,
ORD10117,C1315,2025-01-08,Riverside,Brewed Coffee,Cold Brew,1,3.77,Cash,
ORD10118,C1318,2025-08-19,Downtown,Tea,Herbal Tea,3,4.29,Card,
ORD10119,C1160,2025-07-07,Riverside,Espresso Drinks,Americano,2,3.98,Cash,
ORD10120,C1625,2025-10-03,Downtown,Espresso Drinks,Flat White,1,4.59,Card,
ORD10121,C1048,2025-05-06,University Ave,Espresso Drinks,Americano,1,5.63,Card,
ORD10122,C1203,2025-11-07,University Ave,Food,Avocado Toast,3,5.92,Card,4.0
ORD10123,C1423,2025-06-03,Riverside,Pastries,Croissant,1,3.42,Mobile Pay,
ORD10124,C1045,2025-09-26,Riverside,Espresso Drinks,Latte,2,5.25,Card,4.0
ORD10125,C1426,2025-02-06,Riverside,Brewed Coffee,Drip Coffee,3,4.09,Gift Card,
ORD10126,C1073,2025-02-05,University Ave,Tea,Herbal Tea,2,4.0,Mobile Pay,
ORD10127,C1181,2025-10-12,Riverside,Pastries,Croissant,1,4.4,Mobile Pay,
ORD10128,C1042,2025-10-31,Riverside,Brewed Coffee,Cold Brew,2,3.32,Card,4.0
ORD10129,C1390,2025-12-10,Riverside,Brewed Coffee,Drip Coffee,1,4.19,Card,
ORD10130,C1364,2025-04-29,Downtown,Pastries,Muffin,2,3.07,Gift Card,4.0
ORD10131,C1567,2025-01-09,Riverside,Pastries,Cinnamon Roll,2,3.05,Card,5.0
ORD10132,C1066,2025-12-23,Riverside,Espresso Drinks,Americano,1,4.79,Card,1.0
ORD10133,C1415,2025-08-07, riverside ,Food,Breakfast Sandwich,1,6.39,Cash,
ORD10134,C1533,2025-03-31,Riverside,Pastries,Muffin,1,3.05,Gift Card,
ORD10135,C1428,2025-10-06,Downtown,Tea,Herbal Tea,1,4.39,Mobile Pay,4.0
ORD10136,C1570,2025-11-26,Downtown,Espresso Drinks,Latte,1,4.14,Card,
ORD10137,C1341,2025-04-14,University Ave,Brewed Coffee,Cold Brew,3,2.99,Mobile Pay,
ORD10138,C1403,2025-10-08,Riverside,Pastries,Scone,1,3.43,Card,
ORD10139,C1052,2025-10-14,Downtown,Food,Avocado Toast,2,7.23,Mobile Pay,5.0
ORD10140,C1407,2025-07-02,University Ave,Espresso Drinks,Flat White,1,5.13,Card,
ORD10141,C1099,2025-08-19,Downtown,Tea,Herbal Tea,2,4.02,Mobile Pay,4.0
ORD10142,C1457,2025-04-09,Riverside,Pastries,Muffin,1,3.3,Gift Card,2.0
ORD10143,C1162,2025-12-05,Downtown,Espresso Drinks,Flat White,2,4.6,Cash,4.0
ORD10144,C1002,2025-12-24,University Ave,Espresso Drinks,Flat White,1,3.79,Card,4.0
ORD10145,C1428,2025-12-24,Downtown,Brewed Coffee,Drip Coffee,1,3.63,Cash,4.0
ORD10146,C1129,2025-09-26,University Ave,Espresso Drinks,Latte,2,4.9,Card,
ORD10147,C1382,2025-01-16, University Ave ,Tea,Herbal Tea,1,3.92,Card,5.0
ORD10148,C1122,2025-05-14,Downtown,Brewed Coffee,Drip Coffee,1,4.24,Card,
ORD10149,C1054,2025-06-11,Riverside,Brewed Coffee,Pour Over,2,3.12,Cash,
ORD10150,C1033,2025-12-16,Riverside,Espresso Drinks,Americano,1,4.23,Cash,
ORD10151,C1561,2025-07-19,University Ave,Espresso Drinks,Latte,1,4.46,Mobile Pay,
ORD10152,C1404,2025-07-15,university ave,Pastries,Scone,1,3.75,Mobile Pay,5.0
ORD10153,C1346,2025-02-23,University Ave,Pastries,Cinnamon Roll,2,3.01,Gift Card,4.0
ORD10154,C1213,2025-10-16,Downtown,Pastries,Scone,1,2.99,Card,
ORD10155,C1282,2025-05-03,Downtown,Espresso Drinks,Flat White,1,4.07,Card,
ORD10156,C1324,2025-02-03,Downtown,Brewed Coffee,Pour Over,1,2.94,Card,4.0
ORD10157,C1072,2025-12-26,Downtown,Espresso Drinks,Latte,1,3.78,Mobile Pay,3.0
ORD10158,C1395,2025-03-11,University Ave,Brewed Coffee,Drip Coffee,1,2.93,Card,4.0
ORD10159,C1515,2025-01-06,Downtown,Espresso Drinks,Espresso Shot,2,3.95,Mobile Pay,5.0
ORD10160,C1409,2025-01-29,Riverside,Brewed Coffee,Pour Over,3,4.19,Cash,
ORD10161,C1244,2025-06-14, University Ave ,Espresso Drinks,Espresso Shot,2,5.36,Card,
ORD10162,C1312,2025-02-07,Riverside,Espresso Drinks,Americano,1,5.53,Mobile Pay,4.0
ORD10163,C1283,2025-11-03,Downtown,Espresso Drinks,Latte,3,5.52,Cash,4.0
